HCPCS_Cd,statistic,p_value,median_ratio,p_adj,reject,median_percent_difference
00873,10322.0,0.016336769096591857,0.968609865470852,0.07714871715330603,False,-3.139013452914796
00902,90217.0,0.12426104151238959,1.0,0.3698186464096366,False,0.0
00910,1435018.0,1.9805083465338623e-09,1.0,3.529548803287133e-08,True,0.0
00912,11136.5,0.00785990019846193,0.9743589743589745,0.041724363819494716,True,-2.564102564102555
00914,23005.5,0.004259986706433229,1.0,0.02481400816937955,True,0.0
00918,115229.0,0.015044498764385286,1.0,0.07195404041624529,False,0.0
01210,751.5,0.2962670301749383,1.0,0.6662313786217277,False,0.0
01214,1029997.0,0.0036839332990548108,1.0,0.021930376905673656,True,0.0
01230,60452.0,0.05058148284430508,1.0,0.186477495737236,False,0.0
01400,64185.5,0.3177399144825803,1.0,0.6864773299949722,False,0.0
01402,6369736.5,3.736262102910231e-09,1.0,6.284476818041141e-08,True,0.0
01480,447507.0,0.00010347115900822175,1.0,0.0009165463019840707,True,0.0
01630,90341.0,0.08723840499146751,1.0,0.28145666437979927,False,0.0
01638,73925.5,0.31607455928407624,1.0,0.6856778648257489,False,0.0
01810,963763.5,0.013897489115708865,1.0,0.06711142324585861,False,0.0
01830,44087.0,0.37518303707814465,1.0,0.7601664819275783,False,0.0
01844,21930.5,0.6704986405834379,1.0476190476190477,1.0,False,4.761904761904767
01922,1197987.5,0.3613773591412984,1.0,0.7472125782244803,False,0.0
01926,101220.0,0.9369334526915124,1.0,1.0,False,0.0
01937,6808.0,0.27463812721087466,0.9642857142857142,0.6354455586316528,False,-3.571428571428581
01938,86080.5,0.26138061090911713,0.9965397923875433,0.6149567676836067,False,-0.34602076124566894
01939,4202.0,0.19118837020006235,0.9607038123167155,0.5030034976968248,False,-3.9296187683284467
01940,48342.0,0.3831663885241087,0.9989605138645944,0.7648001114941211,False,-0.10394861354056095
01942,8840.0,0.29785377556152104,0.9843410888894074,0.6674956616999955,False,-1.5658911110592588
01991,1738.5,0.07548321140708804,0.952069716775599,0.25279276840360354,False,-4.793028322440096
01992,65990.0,0.08944894080595106,0.9948578342407743,0.2862268297351635,False,-0.5142165759225659
0241U,806037.5,5.057963807616065e-05,0.9807692307692308,0.0004673933222222994,True,-1.9230769230769162
0275T,16477.5,0.6516047564987646,1.0,1.0,False,0.0
0421T,2640.0,0.6702450242347013,1.0,1.0,False,0.0
0509T,692.0,0.2395052988383738,0.9818472185254191,0.5869629654278316,False,-1.8152781474580881
0598T,7219.0,0.13524643315314067,0.9036303630363036,0.39109432753063944,False,-9.636963696369637
0599T,1075.5,0.031678844230062585,0.8322368421052632,0.12782541728410698,False,-16.776315789473685
0627T,1247.5,0.3644484036489128,1.004749340369393,0.7487692280642496,False,0.4749340369393007
10005,384981.5,0.02610455914684035,1.0,0.11070403694849859,False,0.0
10040,44858.5,0.9813619682986038,1.016304347826087,1.0,False,1.6304347826086918
10060,542366.5,0.9999971351450995,1.0227272727272727,1.0,False,2.2727272727272707
10061,21747.0,0.9136854334509437,1.0129870129870129,1.0,False,1.298701298701288
11000,4574.0,0.8862124554672117,1.1031241142569206,1.0,False,10.312411425692058
11042,10300222.0,0.00014045617230175371,0.9543719323759317,0.0012084074134237086,True,-4.562806762406835
11043,347864.0,0.7265869038599444,1.0511363636363638,1.0,False,5.113636363636376
